,0
916,"In conclusion, therefore, the Kantian perspective of ethics supports Colin Kaepernick's refusal to stand during the NFL national anthems because it is rights and duty-based ethics. Kaepernick as a professional athlete has a moral duty to point out wrongs in society and we as rational humans are morally duty-bound to respect his right to express his opinions on such issues, in whatever form he likes - including kneeling."
917,References
918,"Kane, D., & Tiell, B. (2017). Application of normative ethics to explain Colin Kaepernick's silent protest in the NFL. The Sport Journal. https://thesportjournal.org/article/application-of-normative-ethics-to-explain-colin-Kaepernick's-silent-protest-in-the-nfl/"
919,"Misselbrook, D. (2013). Duty, Kant, and deontology. British Journal of General Practice, 63 (609), 211. DOI: 10.3399/bjgp13X665422"
920,"In 2016, a prominent National Football League (NFL) player, Collin Kaepernick, created a heated national discourse in the US when he declined to stand as the national anthem was being sung before the start of NFL games as had been the tradition for centuries. He was protesting against social injustices African Americans in the US, including racial oppression, discrimination, and police brutality. He wished to bring the attention of everyone to these issues. For this, Kaepernick was praised and vilified in equal measure, inviting the question as to whether or not his actions were right or wrong. "
921,Is your time best spent reading someone else’s essay? Get a 100% original essay FROM A CERTIFIED WRITER!
922,"Kantian ethics is an ethical theory traced to Immanuel Kant (1724-1804), the Great Jerman philosopher. It is a deontological theory of ethics derived from rights and duties (Misselbrook, 2013). According to the Kantian theory of ethics, every human being possesses reason which enables them to distinguish between right and wrong. Most importantly, however, Kantian ethics posits that all people have a universal rational duty to respect the humanity and dignity of one another. To Kant, all morality emanates from normative and deontological duties to self and others (Misselbrook, 2013). Kant also believed that all human beings are moral agents responsible and accountable for their actions."
923,"Applying Kantian ethics to Kaepernick's refusal to kneel during NFL national anthem, it may be argued that it is our duty as human beings to respect the opinions of others, and this includes Kaepernick's actions. Therefore, his intention of kneeling as an act against racial oppression in the US should not be used to judge his abilities and status as an NFL player. For, as Kane and tell (2017) rightly argue, bein a professional athlete in the NFL, there are societal expectations on Kaepernick, hence he had a duty to bring to the attention of the world an issue that he deemed was being ignored to instigate change. Furthermore, using the rights approach to ethics by Kant, it is correct to argue that Kaepernick as a human being had the right to take a knee to demonstrate his disapproval of a minority rights issue in the US; therefore, we should respect this right (Kane & Tiell, 2017)."
924,"In conclusion, therefore, the Kantian perspective of ethics supports Colin Kaepernick's refusal to stand during the NFL national anthems because it is rights and duty-based ethics. Kaepernick as a professional athlete has a moral duty to point out wrongs in society and we as rational humans are morally duty-bound to respect his right to express his opinions on such issues, in whatever form he likes - including kneeling."
925,References
926,"Kane, D., & Tiell, B. (2017). Application of normative ethics to explain Colin Kaepernick's silent protest in the NFL. The Sport Journal. https://thesportjournal.org/article/application-of-normative-ethics-to-explain-colin-Kaepernick's-silent-protest-in-the-nfl/"
927,"Misselbrook, D. (2013). Duty, Kant, and deontology. British Journal of General Practice, 63 (609), 211. DOI: 10.3399/bjgp13X665422"
928,"In 2016, a prominent National Football League (NFL) player, Collin Kaepernick, created a heated national discourse in the US when he declined to stand as the national anthem was being sung before the start of NFL games as had been the tradition for centuries. He was protesting against social injustices African Americans in the US, including racial oppression, discrimination, and police brutality. He wished to bring the attention of everyone to these issues. For this, Kaepernick was praised and vilified in equal measure, inviting the question as to whether or not his actions were right or wrong. "
929,Is your time best spent reading someone else’s essay? Get a 100% original essay FROM A CERTIFIED WRITER!
930,"Kantian ethics is an ethical theory traced to Immanuel Kant (1724-1804), the Great Jerman philosopher. It is a deontological theory of ethics derived from rights and duties (Misselbrook, 2013). According to the Kantian theory of ethics, every human being possesses reason which enables them to distinguish between right and wrong. Most importantly, however, Kantian ethics posits that all people have a universal rational duty to respect the humanity and dignity of one another. To Kant, all morality emanates from normative and deontological duties to self and others (Misselbrook, 2013). Kant also believed that all human beings are moral agents responsible and accountable for their actions."
931,"Applying Kantian ethics to Kaepernick's refusal to kneel during NFL national anthem, it may be argued that it is our duty as human beings to respect the opinions of others, and this includes Kaepernick's actions. Therefore, his intention of kneeling as an act against racial oppression in the US should not be used to judge his abilities and status as an NFL player. For, as Kane and tell (2017) rightly argue, bein a professional athlete in the NFL, there are societal expectations on Kaepernick, hence he had a duty to bring to the attention of the world an issue that he deemed was being ignored to instigate change. Furthermore, using the rights approach to ethics by Kant, it is correct to argue that Kaepernick as a human being had the right to take a knee to demonstrate his disapproval of a minority rights issue in the US; therefore, we should respect this right (Kane & Tiell, 2017)."
932,"In conclusion, therefore, the Kantian perspective of ethics supports Colin Kaepernick's refusal to stand during the NFL national anthems because it is rights and duty-based ethics. Kaepernick as a professional athlete has a moral duty to point out wrongs in society and we as rational humans are morally duty-bound to respect his right to express his opinions on such issues, in whatever form he likes - including kneeling."
933,References
934,"Kane, D., & Tiell, B. (2017). Application of normative ethics to explain Colin Kaepernick's silent protest in the NFL. The Sport Journal. https://thesportjournal.org/article/application-of-normative-ethics-to-explain-colin-Kaepernick's-silent-protest-in-the-nfl/"
935,"Misselbrook, D. (2013). Duty, Kant, and deontology. British Journal of General Practice, 63 (609), 211. DOI: 10.3399/bjgp13X665422"
936,"In 2016, a prominent National Football League (NFL) player, Collin Kaepernick, created a heated national discourse in the US when he declined to stand as the national anthem was being sung before the start of NFL games as had been the tradition for centuries. He was protesting against social injustices African Americans in the US, including racial oppression, discrimination, and police brutality. He wished to bring the attention of everyone to these issues. For this, Kaepernick was praised and vilified in equal measure, inviting the question as to whether or not his actions were right or wrong. "
937,Is your time best spent reading someone else’s essay? Get a 100% original essay FROM A CERTIFIED WRITER!
938,"Kantian ethics is an ethical theory traced to Immanuel Kant (1724-1804), the Great Jerman philosopher. It is a deontological theory of ethics derived from rights and duties (Misselbrook, 2013). According to the Kantian theory of ethics, every human being possesses reason which enables them to distinguish between right and wrong. Most importantly, however, Kantian ethics posits that all people have a universal rational duty to respect the humanity and dignity of one another. To Kant, all morality emanates from normative and deontological duties to self and others (Misselbrook, 2013). Kant also believed that all human beings are moral agents responsible and accountable for their actions."
939,"Applying Kantian ethics to Kaepernick's refusal to kneel during NFL national anthem, it may be argued that it is our duty as human beings to respect the opinions of others, and this includes Kaepernick's actions. Therefore, his intention of kneeling as an act against racial oppression in the US should not be used to judge his abilities and status as an NFL player. For, as Kane and tell (2017) rightly argue, bein a professional athlete in the NFL, there are societal expectations on Kaepernick, hence he had a duty to bring to the attention of the world an issue that he deemed was being ignored to instigate change. Furthermore, using the rights approach to ethics by Kant, it is correct to argue that Kaepernick as a human being had the right to take a knee to demonstrate his disapproval of a minority rights issue in the US; therefore, we should respect this right (Kane & Tiell, 2017)."
940,"In conclusion, therefore, the Kantian perspective of ethics supports Colin Kaepernick's refusal to stand during the NFL national anthems because it is rights and duty-based ethics. Kaepernick as a professional athlete has a moral duty to point out wrongs in society and we as rational humans are morally duty-bound to respect his right to express his opinions on such issues, in whatever form he likes - including kneeling."
941,References
942,"Kane, D., & Tiell, B. (2017). Application of normative ethics to explain Colin Kaepernick's silent protest in the NFL. The Sport Journal. https://thesportjournal.org/article/application-of-normative-ethics-to-explain-colin-Kaepernick's-silent-protest-in-the-nfl/"
943,"Misselbrook, D. (2013). Duty, Kant, and deontology. British Journal of General Practice, 63 (609), 211. DOI: 10.3399/bjgp13X665422"
944,"In 2016, a prominent National Football League (NFL) player, Collin Kaepernick, created a heated national discourse in the US when he declined to stand as the national anthem was being sung before the start of NFL games as had been the tradition for centuries. He was protesting against social injustices African Americans in the US, including racial oppression, discrimination, and police brutality. He wished to bring the attention of everyone to these issues. For this, Kaepernick was praised and vilified in equal measure, inviting the question as to whether or not his actions were right or wrong. "
945,Is your time best spent reading someone else’s essay? Get a 100% original essay FROM A CERTIFIED WRITER!
946,"Kantian ethics is an ethical theory traced to Immanuel Kant (1724-1804), the Great Jerman philosopher. It is a deontological theory of ethics derived from rights and duties (Misselbrook, 2013). According to the Kantian theory of ethics, every human being possesses reason which enables them to distinguish between right and wrong. Most importantly, however, Kantian ethics posits that all people have a universal rational duty to respect the humanity and dignity of one another. To Kant, all morality emanates from normative and deontological duties to self and others (Misselbrook, 2013). Kant also believed that all human beings are moral agents responsible and accountable for their actions."
947,"Applying Kantian ethics to Kaepernick's refusal to kneel during NFL national anthem, it may be argued that it is our duty as human beings to respect the opinions of others, and this includes Kaepernick's actions. Therefore, his intention of kneeling as an act against racial oppression in the US should not be used to judge his abilities and status as an NFL player. For, as Kane and tell (2017) rightly argue, bein a professional athlete in the NFL, there are societal expectations on Kaepernick, hence he had a duty to bring to the attention of the world an issue that he deemed was being ignored to instigate change. Furthermore, using the rights approach to ethics by Kant, it is correct to argue that Kaepernick as a human being had the right to take a knee to demonstrate his disapproval of a minority rights issue in the US; therefore, we should respect this right (Kane & Tiell, 2017)."
948,"In conclusion, therefore, the Kantian perspective of ethics supports Colin Kaepernick's refusal to stand during the NFL national anthems because it is rights and duty-based ethics. Kaepernick as a professional athlete has a moral duty to point out wrongs in society and we as rational humans are morally duty-bound to respect his right to express his opinions on such issues, in whatever form he likes - including kneeling."
949,References
950,"Kane, D., & Tiell, B. (2017). Application of normative ethics to explain Colin Kaepernick's silent protest in the NFL. The Sport Journal. https://thesportjournal.org/article/application-of-normative-ethics-to-explain-colin-Kaepernick's-silent-protest-in-the-nfl/"
951,"Misselbrook, D. (2013). Duty, Kant, and deontology. British Journal of General Practice, 63 (609), 211. DOI: 10.3399/bjgp13X665422"
952,"In 2016, a prominent National Football League (NFL) player, Collin Kaepernick, created a heated national discourse in the US when he declined to stand as the national anthem was being sung before the start of NFL games as had been the tradition for centuries. He was protesting against social injustices African Americans in the US, including racial oppression, discrimination, and police brutality. He wished to bring the attention of everyone to these issues. For this, Kaepernick was praised and vilified in equal measure, inviting the question as to whether or not his actions were right or wrong. "
953,Is your time best spent reading someone else’s essay? Get a 100% original essay FROM A CERTIFIED WRITER!
954,"Kantian ethics is an ethical theory traced to Immanuel Kant (1724-1804), the Great Jerman philosopher. It is a deontological theory of ethics derived from rights and duties (Misselbrook, 2013). According to the Kantian theory of ethics, every human being possesses reason which enables them to distinguish between right and wrong. Most importantly, however, Kantian ethics posits that all people have a universal rational duty to respect the humanity and dignity of one another. To Kant, all morality emanates from normative and deontological duties to self and others (Misselbrook, 2013). Kant also believed that all human beings are moral agents responsible and accountable for their actions."
955,"Applying Kantian ethics to Kaepernick's refusal to kneel during NFL national anthem, it may be argued that it is our duty as human beings to respect the opinions of others, and this includes Kaepernick's actions. Therefore, his intention of kneeling as an act against racial oppression in the US should not be used to judge his abilities and status as an NFL player. For, as Kane and tell (2017) rightly argue, bein a professional athlete in the NFL, there are societal expectations on Kaepernick, hence he had a duty to bring to the attention of the world an issue that he deemed was being ignored to instigate change. Furthermore, using the rights approach to ethics by Kant, it is correct to argue that Kaepernick as a human being had the right to take a knee to demonstrate his disapproval of a minority rights issue in the US; therefore, we should respect this right (Kane & Tiell, 2017)."
956,"In conclusion, therefore, the Kantian perspective of ethics supports Colin Kaepernick's refusal to stand during the NFL national anthems because it is rights and duty-based ethics. Kaepernick as a professional athlete has a moral duty to point out wrongs in society and we as rational humans are morally duty-bound to respect his right to express his opinions on such issues, in whatever form he likes - including kneeling."
957,References
958,"Kane, D., & Tiell, B. (2017). Application of normative ethics to explain Colin Kaepernick's silent protest in the NFL. The Sport Journal. https://thesportjournal.org/article/application-of-normative-ethics-to-explain-colin-Kaepernick's-silent-protest-in-the-nfl/"
959,"Misselbrook, D. (2013). Duty, Kant, and deontology. British Journal of General Practice, 63 (609), 211. DOI: 10.3399/bjgp13X665422"
960,"In 2016, a prominent National Football League (NFL) player, Collin Kaepernick, created a heated national discourse in the US when he declined to stand as the national anthem was being sung before the start of NFL games as had been the tradition for centuries. He was protesting against social injustices African Americans in the US, including racial oppression, discrimination, and police brutality. He wished to bring the attention of everyone to these issues. For this, Kaepernick was praised and vilified in equal measure, inviting the question as to whether or not his actions were right or wrong. "
961,Is your time best spent reading someone else’s essay? Get a 100% original essay FROM A CERTIFIED WRITER!
962,"Kantian ethics is an ethical theory traced to Immanuel Kant (1724-1804), the Great Jerman philosopher. It is a deontological theory of ethics derived from rights and duties (Misselbrook, 2013). According to the Kantian theory of ethics, every human being possesses reason which enables them to distinguish between right and wrong. Most importantly, however, Kantian ethics posits that all people have a universal rational duty to respect the humanity and dignity of one another. To Kant, all morality emanates from normative and deontological duties to self and others (Misselbrook, 2013). Kant also believed that all human beings are moral agents responsible and accountable for their actions."
963,"Applying Kantian ethics to Kaepernick's refusal to kneel during NFL national anthem, it may be argued that it is our duty as human beings to respect the opinions of others, and this includes Kaepernick's actions. Therefore, his intention of kneeling as an act against racial oppression in the US should not be used to judge his abilities and status as an NFL player. For, as Kane and tell (2017) rightly argue, bein a professional athlete in the NFL, there are societal expectations on Kaepernick, hence he had a duty to bring to the attention of the world an issue that he deemed was being ignored to instigate change. Furthermore, using the rights approach to ethics by Kant, it is correct to argue that Kaepernick as a human being had the right to take a knee to demonstrate his disapproval of a minority rights issue in the US; therefore, we should respect this right (Kane & Tiell, 2017)."
964,"In conclusion, therefore, the Kantian perspective of ethics supports Colin Kaepernick's refusal to stand during the NFL national anthems because it is rights and duty-based ethics. Kaepernick as a professional athlete has a moral duty to point out wrongs in society and we as rational humans are morally duty-bound to respect his right to express his opinions on such issues, in whatever form he likes - including kneeling."
965,References
966,"Kane, D., & Tiell, B. (2017). Application of normative ethics to explain Colin Kaepernick's silent protest in the NFL. The Sport Journal. https://thesportjournal.org/article/application-of-normative-ethics-to-explain-colin-Kaepernick's-silent-protest-in-the-nfl/"
967,"Misselbrook, D. (2013). Duty, Kant, and deontology. British Journal of General Practice, 63 (609), 211. DOI: 10.3399/bjgp13X665422"
968,"In 2016, a prominent National Football League (NFL) player, Collin Kaepernick, created a heated national discourse in the US when he declined to stand as the national anthem was being sung before the start of NFL games as had been the tradition for centuries. He was protesting against social injustices African Americans in the US, including racial oppression, discrimination, and police brutality. He wished to bring the attention of everyone to these issues. For this, Kaepernick was praised and vilified in equal measure, inviting the question as to whether or not his actions were right or wrong. "
969,Is your time best spent reading someone else’s essay? Get a 100% original essay FROM A CERTIFIED WRITER!
970,"Kantian ethics is an ethical theory traced to Immanuel Kant (1724-1804), the Great Jerman philosopher. It is a deontological theory of ethics derived from rights and duties (Misselbrook, 2013). According to the Kantian theory of ethics, every human being possesses reason which enables them to distinguish between right and wrong. Most importantly, however, Kantian ethics posits that all people have a universal rational duty to respect the humanity and dignity of one another. To Kant, all morality emanates from normative and deontological duties to self and others (Misselbrook, 2013). Kant also believed that all human beings are moral agents responsible and accountable for their actions."
971,"Applying Kantian ethics to Kaepernick's refusal to kneel during NFL national anthem, it may be argued that it is our duty as human beings to respect the opinions of others, and this includes Kaepernick's actions. Therefore, his intention of kneeling as an act against racial oppression in the US should not be used to judge his abilities and status as an NFL player. For, as Kane and tell (2017) rightly argue, bein a professional athlete in the NFL, there are societal expectations on Kaepernick, hence he had a duty to bring to the attention of the world an issue that he deemed was being ignored to instigate change. Furthermore, using the rights approach to ethics by Kant, it is correct to argue that Kaepernick as a human being had the right to take a knee to demonstrate his disapproval of a minority rights issue in the US; therefore, we should respect this right (Kane & Tiell, 2017)."
972,"In conclusion, therefore, the Kantian perspective of ethics supports Colin Kaepernick's refusal to stand during the NFL national anthems because it is rights and duty-based ethics. Kaepernick as a professional athlete has a moral duty to point out wrongs in society and we as rational humans are morally duty-bound to respect his right to express his opinions on such issues, in whatever form he likes - including kneeling."
973,References
974,"Kane, D., & Tiell, B. (2017). Application of normative ethics to explain Colin Kaepernick's silent protest in the NFL. The Sport Journal. https://thesportjournal.org/article/application-of-normative-ethics-to-explain-colin-Kaepernick's-silent-protest-in-the-nfl/"
975,"Misselbrook, D. (2013). Duty, Kant, and deontology. British Journal of General Practice, 63 (609), 211. DOI: 10.3399/bjgp13X665422"
976,"In 2016, a prominent National Football League (NFL) player, Collin Kaepernick, created a heated national discourse in the US when he declined to stand as the national anthem was being sung before the start of NFL games as had been the tradition for centuries. He was protesting against social injustices African Americans in the US, including racial oppression, discrimination, and police brutality. He wished to bring the attention of everyone to these issues. For this, Kaepernick was praised and vilified in equal measure, inviting the question as to whether or not his actions were right or wrong. "
977,Is your time best spent reading someone else’s essay? Get a 100% original essay FROM A CERTIFIED WRITER!
978,"Kantian ethics is an ethical theory traced to Immanuel Kant (1724-1804), the Great Jerman philosopher. It is a deontological theory of ethics derived from rights and duties (Misselbrook, 2013). According to the Kantian theory of ethics, every human being possesses reason which enables them to distinguish between right and wrong. Most importantly, however, Kantian ethics posits that all people have a universal rational duty to respect the humanity and dignity of one another. To Kant, all morality emanates from normative and deontological duties to self and others (Misselbrook, 2013). Kant also believed that all human beings are moral agents responsible and accountable for their actions."
979,"Applying Kantian ethics to Kaepernick's refusal to kneel during NFL national anthem, it may be argued that it is our duty as human beings to respect the opinions of others, and this includes Kaepernick's actions. Therefore, his intention of kneeling as an act against racial oppression in the US should not be used to judge his abilities and status as an NFL player. For, as Kane and tell (2017) rightly argue, bein a professional athlete in the NFL, there are societal expectations on Kaepernick, hence he had a duty to bring to the attention of the world an issue that he deemed was being ignored to instigate change. Furthermore, using the rights approach to ethics by Kant, it is correct to argue that Kaepernick as a human being had the right to take a knee to demonstrate his disapproval of a minority rights issue in the US; therefore, we should respect this right (Kane & Tiell, 2017)."
980,"In conclusion, therefore, the Kantian perspective of ethics supports Colin Kaepernick's refusal to stand during the NFL national anthems because it is rights and duty-based ethics. Kaepernick as a professional athlete has a moral duty to point out wrongs in society and we as rational humans are morally duty-bound to respect his right to express his opinions on such issues, in whatever form he likes - including kneeling."
981,References
982,"Kane, D., & Tiell, B. (2017). Application of normative ethics to explain Colin Kaepernick's silent protest in the NFL. The Sport Journal. https://thesportjournal.org/article/application-of-normative-ethics-to-explain-colin-Kaepernick's-silent-protest-in-the-nfl/"
983,"Misselbrook, D. (2013). Duty, Kant, and deontology. British Journal of General Practice, 63 (609), 211. DOI: 10.3399/bjgp13X665422"
984,"In 2016, a prominent National Football League (NFL) player, Collin Kaepernick, created a heated national discourse in the US when he declined to stand as the national anthem was being sung before the start of NFL games as had been the tradition for centuries. He was protesting against social injustices African Americans in the US, including racial oppression, discrimination, and police brutality. He wished to bring the attention of everyone to these issues. For this, Kaepernick was praised and vilified in equal measure, inviting the question as to whether or not his actions were right or wrong. "
985,Is your time best spent reading someone else’s essay? Get a 100% original essay FROM A CERTIFIED WRITER!
986,"Kantian ethics is an ethical theory traced to Immanuel Kant (1724-1804), the Great Jerman philosopher. It is a deontological theory of ethics derived from rights and duties (Misselbrook, 2013). According to the Kantian theory of ethics, every human being possesses reason which enables them to distinguish between right and wrong. Most importantly, however, Kantian ethics posits that all people have a universal rational duty to respect the humanity and dignity of one another. To Kant, all morality emanates from normative and deontological duties to self and others (Misselbrook, 2013). Kant also believed that all human beings are moral agents responsible and accountable for their actions."
987,"Applying Kantian ethics to Kaepernick's refusal to kneel during NFL national anthem, it may be argued that it is our duty as human beings to respect the opinions of others, and this includes Kaepernick's actions. Therefore, his intention of kneeling as an act against racial oppression in the US should not be used to judge his abilities and status as an NFL player. For, as Kane and tell (2017) rightly argue, bein a professional athlete in the NFL, there are societal expectations on Kaepernick, hence he had a duty to bring to the attention of the world an issue that he deemed was being ignored to instigate change. Furthermore, using the rights approach to ethics by Kant, it is correct to argue that Kaepernick as a human being had the right to take a knee to demonstrate his disapproval of a minority rights issue in the US; therefore, we should respect this right (Kane & Tiell, 2017)."
988,"In conclusion, therefore, the Kantian perspective of ethics supports Colin Kaepernick's refusal to stand during the NFL national anthems because it is rights and duty-based ethics. Kaepernick as a professional athlete has a moral duty to point out wrongs in society and we as rational humans are morally duty-bound to respect his right to express his opinions on such issues, in whatever form he likes - including kneeling."
989,References
990,"Kane, D., & Tiell, B. (2017). Application of normative ethics to explain Colin Kaepernick's silent protest in the NFL. The Sport Journal. https://thesportjournal.org/article/application-of-normative-ethics-to-explain-colin-Kaepernick's-silent-protest-in-the-nfl/"
991,"Misselbrook, D. (2013). Duty, Kant, and deontology. British Journal of General Practice, 63 (609), 211. DOI: 10.3399/bjgp13X665422"
992,"In 2016, a prominent National Football League (NFL) player, Collin Kaepernick, created a heated national discourse in the US when he declined to stand as the national anthem was being sung before the start of NFL games as had been the tradition for centuries. He was protesting against social injustices African Americans in the US, including racial oppression, discrimination, and police brutality. He wished to bring the attention of everyone to these issues. For this, Kaepernick was praised and vilified in equal measure, inviting the question as to whether or not his actions were right or wrong. "
993,Is your time best spent reading someone else’s essay? Get a 100% original essay FROM A CERTIFIED WRITER!
994,"Kantian ethics is an ethical theory traced to Immanuel Kant (1724-1804), the Great Jerman philosopher. It is a deontological theory of ethics derived from rights and duties (Misselbrook, 2013). According to the Kantian theory of ethics, every human being possesses reason which enables them to distinguish between right and wrong. Most importantly, however, Kantian ethics posits that all people have a universal rational duty to respect the humanity and dignity of one another. To Kant, all morality emanates from normative and deontological duties to self and others (Misselbrook, 2013). Kant also believed that all human beings are moral agents responsible and accountable for their actions."
995,"Applying Kantian ethics to Kaepernick's refusal to kneel during NFL national anthem, it may be argued that it is our duty as human beings to respect the opinions of others, and this includes Kaepernick's actions. Therefore, his intention of kneeling as an act against racial oppression in the US should not be used to judge his abilities and status as an NFL player. For, as Kane and tell (2017) rightly argue, bein a professional athlete in the NFL, there are societal expectations on Kaepernick, hence he had a duty to bring to the attention of the world an issue that he deemed was being ignored to instigate change. Furthermore, using the rights approach to ethics by Kant, it is correct to argue that Kaepernick as a human being had the right to take a knee to demonstrate his disapproval of a minority rights issue in the US; therefore, we should respect this right (Kane & Tiell, 2017)."
996,"In conclusion, therefore, the Kantian perspective of ethics supports Colin Kaepernick's refusal to stand during the NFL national anthems because it is rights and duty-based ethics. Kaepernick as a professional athlete has a moral duty to point out wrongs in society and we as rational humans are morally duty-bound to respect his right to express his opinions on such issues, in whatever form he likes - including kneeling."
997,References
998,"Kane, D., & Tiell, B. (2017). Application of normative ethics to explain Colin Kaepernick's silent protest in the NFL. The Sport Journal. https://thesportjournal.org/article/application-of-normative-ethics-to-explain-colin-Kaepernick's-silent-protest-in-the-nfl/"
999,"Misselbrook, D. (2013). Duty, Kant, and deontology. British Journal of General Practice, 63 (609), 211. DOI: 10.3399/bjgp13X665422"
1000,"In 2016, a prominent National Football League (NFL) player, Collin Kaepernick, created a heated national discourse in the US when he declined to stand as the national anthem was being sung before the start of NFL games as had been the tradition for centuries. He was protesting against social injustices African Americans in the US, including racial oppression, discrimination, and police brutality. He wished to bring the attention of everyone to these issues. For this, Kaepernick was praised and vilified in equal measure, inviting the question as to whether or not his actions were right or wrong. "
1001,Is your time best spent reading someone else’s essay? Get a 100% original essay FROM A CERTIFIED WRITER!
1002,"Kantian ethics is an ethical theory traced to Immanuel Kant (1724-1804), the Great Jerman philosopher. It is a deontological theory of ethics derived from rights and duties (Misselbrook, 2013). According to the Kantian theory of ethics, every human being possesses reason which enables them to distinguish between right and wrong. Most importantly, however, Kantian ethics posits that all people have a universal rational duty to respect the humanity and dignity of one another. To Kant, all morality emanates from normative and deontological duties to self and others (Misselbrook, 2013). Kant also believed that all human beings are moral agents responsible and accountable for their actions."
1003,"Applying Kantian ethics to Kaepernick's refusal to kneel during NFL national anthem, it may be argued that it is our duty as human beings to respect the opinions of others, and this includes Kaepernick's actions. Therefore, his intention of kneeling as an act against racial oppression in the US should not be used to judge his abilities and status as an NFL player. For, as Kane and tell (2017) rightly argue, bein a professional athlete in the NFL, there are societal expectations on Kaepernick, hence he had a duty to bring to the attention of the world an issue that he deemed was being ignored to instigate change. Furthermore, using the rights approach to ethics by Kant, it is correct to argue that Kaepernick as a human being had the right to take a knee to demonstrate his disapproval of a minority rights issue in the US; therefore, we should respect this right (Kane & Tiell, 2017)."
1004,"In conclusion, therefore, the Kantian perspective of ethics supports Colin Kaepernick's refusal to stand during the NFL national anthems because it is rights and duty-based ethics. Kaepernick as a professional athlete has a moral duty to point out wrongs in society and we as rational humans are morally duty-bound to respect his right to express his opinions on such issues, in whatever form he likes - including kneeling."
1005,References
1006,"Kane, D., & Tiell, B. (2017). Application of normative ethics to explain Colin Kaepernick's silent protest in the NFL. The Sport Journal. https://thesportjournal.org/article/application-of-normative-ethics-to-explain-colin-Kaepernick's-silent-protest-in-the-nfl/"
1007,"Misselbrook, D. (2013). Duty, Kant, and deontology. British Journal of General Practice, 63 (609), 211. DOI: 10.3399/bjgp13X665422"
1008,"In 2016, a prominent National Football League (NFL) player, Collin Kaepernick, created a heated national discourse in the US when he declined to stand as the national anthem was being sung before the start of NFL games as had been the tradition for centuries. He was protesting against social injustices African Americans in the US, including racial oppression, discrimination, and police brutality. He wished to bring the attention of everyone to these issues. For this, Kaepernick was praised and vilified in equal measure, inviting the question as to whether or not his actions were right or wrong. "
1009,Is your time best spent reading someone else’s essay? Get a 100% original essay FROM A CERTIFIED WRITER!
1010,"Kantian ethics is an ethical theory traced to Immanuel Kant (1724-1804), the Great Jerman philosopher. It is a deontological theory of ethics derived from rights and duties (Misselbrook, 2013). According to the Kantian theory of ethics, every human being possesses reason which enables them to distinguish between right and wrong. Most importantly, however, Kantian ethics posits that all people have a universal rational duty to respect the humanity and dignity of one another. To Kant, all morality emanates from normative and deontological duties to self and others (Misselbrook, 2013). Kant also believed that all human beings are moral agents responsible and accountable for their actions."
1011,"Applying Kantian ethics to Kaepernick's refusal to kneel during NFL national anthem, it may be argued that it is our duty as human beings to respect the opinions of others, and this includes Kaepernick's actions. Therefore, his intention of kneeling as an act against racial oppression in the US should not be used to judge his abilities and status as an NFL player. For, as Kane and tell (2017) rightly argue, bein a professional athlete in the NFL, there are societal expectations on Kaepernick, hence he had a duty to bring to the attention of the world an issue that he deemed was being ignored to instigate change. Furthermore, using the rights approach to ethics by Kant, it is correct to argue that Kaepernick as a human being had the right to take a knee to demonstrate his disapproval of a minority rights issue in the US; therefore, we should respect this right (Kane & Tiell, 2017)."
1012,"In conclusion, therefore, the Kantian perspective of ethics supports Colin Kaepernick's refusal to stand during the NFL national anthems because it is rights and duty-based ethics. Kaepernick as a professional athlete has a moral duty to point out wrongs in society and we as rational humans are morally duty-bound to respect his right to express his opinions on such issues, in whatever form he likes - including kneeling."
1013,References
1014,"Kane, D., & Tiell, B. (2017). Application of normative ethics to explain Colin Kaepernick's silent protest in the NFL. The Sport Journal. https://thesportjournal.org/article/application-of-normative-ethics-to-explain-colin-Kaepernick's-silent-protest-in-the-nfl/"
1015,"Misselbrook, D. (2013). Duty, Kant, and deontology. British Journal of General Practice, 63 (609), 211. DOI: 10.3399/bjgp13X665422"
1016,"In 2016, a prominent National Football League (NFL) player, Collin Kaepernick, created a heated national discourse in the US when he declined to stand as the national anthem was being sung before the start of NFL games as had been the tradition for centuries. He was protesting against social injustices African Americans in the US, including racial oppression, discrimination, and police brutality. He wished to bring the attention of everyone to these issues. For this, Kaepernick was praised and vilified in equal measure, inviting the question as to whether or not his actions were right or wrong. "
1017,Is your time best spent reading someone else’s essay? Get a 100% original essay FROM A CERTIFIED WRITER!
1018,"Kantian ethics is an ethical theory traced to Immanuel Kant (1724-1804), the Great Jerman philosopher. It is a deontological theory of ethics derived from rights and duties (Misselbrook, 2013). According to the Kantian theory of ethics, every human being possesses reason which enables them to distinguish between right and wrong. Most importantly, however, Kantian ethics posits that all people have a universal rational duty to respect the humanity and dignity of one another. To Kant, all morality emanates from normative and deontological duties to self and others (Misselbrook, 2013). Kant also believed that all human beings are moral agents responsible and accountable for their actions."
